phase,variant,case,kind,input_job_id,requested_model,resolved_model,prompt_sha256,validated,error,seconds,web_searches,total_tokens,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens
comparison,original,Node.js 10 to 12 LTS,article,f5eec09b-e1a2-4c46-a8ae-1f469ead1056,gpt-5.6-luna,gpt-5.6-luna,2ee6791738f7cdad55926160c48b6ad9daba4760ad887103c0a7dcef30916f39,True,,15.37,0,49841,49175,0,666,169
comparison,original,n8n RAG MCP workflow,article,601cad99-5178-460d-a2c0-9211a08f637d,gpt-5.6-terra,gpt-5.6-terra,d43e2937abb26777c49bec4e9a99f7e4722b400027a220c7be610765e18e40f3,True,,13.18,0,51345,50875,5888,470,96
comparison,original,n8n RAG MCP workflow,article,601cad99-5178-460d-a2c0-9211a08f637d,gpt-5.6-luna,gpt-5.6-luna,d43e2937abb26777c49bec4e9a99f7e4722b400027a220c7be610765e18e40f3,False,ValidationError,18.85,0,50164,49360,0,804,180
confirmation,original,n8n RAG MCP workflow,article,601cad99-5178-460d-a2c0-9211a08f637d,gpt-5.6-terra,gpt-5.6-terra,d43e2937abb26777c49bec4e9a99f7e4722b400027a220c7be610765e18e40f3,True,,17.3,0,51537,50875,5888,662,246
confirmation,original,n8n RAG MCP workflow,article,601cad99-5178-460d-a2c0-9211a08f637d,gpt-5.6-luna,gpt-5.6-luna,d43e2937abb26777c49bec4e9a99f7e4722b400027a220c7be610765e18e40f3,True,,19.64,0,50236,49360,0,876,344
comparison,fact-check-workflow,ActivityPub,metadata,8dd918f6-0467-4e5c-b41d-1bfbad438add,gpt-5.6-luna,gpt-5.6-luna,7ccc194f8bb9cb59bd3e68a745af8dccfd84cdabd066235a2f11683784ea1ee4,True,,23.19,1,30161,29344,0,817,355
comparison,fact-check-workflow,4D Components,metadata,02edbf45-7e53-40eb-b3e3-de14ad2ad5b6,gpt-5.6-luna,gpt-5.6-luna,b4bef551bb7f1b160f6cf7fb3a3b5a422a5c373e83b43267b1185b4c817f4104,True,,34.93,2,50574,49446,24064,1128,614
comparison,fact-check-workflow,Vercel,metadata,9b37a430-2e71-48e9-b96a-a0142ffff6a3,gpt-5.6-luna,gpt-5.6-luna,66714fa13daaaf136dc7123e9acc70868a690cfdd5b9adf9d0e70408e817ccd5,True,,36.78,2,55328,54216,38144,1112,461
comparison,fact-check-workflow,Continuous Delivery (CD),metadata,ff523149-af25-4dfb-a5bd-f3d2e917e07e,gpt-5.6-luna,gpt-5.6-luna,20a554c047c58ac33a3fec37166dea4a190859dbc9c126b4dfcc5f64f43b1fc5,True,,38.74,3,73199,72017,45312,1182,573
comparison,fact-check-workflow,CD (Disambiguation),metadata,2a470b3d-26c2-47e5-a304-17dd8db4f8b4,gpt-5.6-luna,gpt-5.6-luna,c3b7c370805e92f74efb345df79d41d3c99a96adae1447418073cd39dfc7da3f,True,,38.05,2,62527,61220,28160,1307,740
comparison,fact-check-workflow,AI Agent,relationships,41b36a92-f834-46f7-8d14-2b18877965c8,gpt-5.6-luna,gpt-5.6-luna,0de29858e258e6d35c4eb21fdd64e8ace550877a0863c77116c05e644aec74aa,True,,37.29,2,106122,104771,58880,1351,621
comparison,fact-check-workflow,Node.js 10 to 12 LTS,article,f5eec09b-e1a2-4c46-a8ae-1f469ead1056,gpt-5.6-luna,gpt-5.6-luna,bc3ee3e248adad6204a8935b570d273d0242d7fa6da14fdc6aa4bdb9adcd24d4,True,,17.76,0,51179,50472,0,707,204
comparison,fact-check-workflow,n8n RAG MCP workflow,article,601cad99-5178-460d-a2c0-9211a08f637d,gpt-5.6-luna,gpt-5.6-luna,c2beb8d7ca8726521df88fd32aac6e674377c7275d8bc037c064176890d4a0bd,False,ValidationError,28.6,0,52029,50657,0,1372,746
